0,0.00065003,0,804.3254694,13052.70066,27.76417866,0.002127083,470.127383
0.5,0.00064901,0.00032451,804.5865235,13035.60862,27.72076319,0.002126542,470.2471043
1,0.00064796,0.00064849,804.8472356,13019.70488,27.67727961,0.002125799,470.4112928
1.5,0.00064696,0.00097197,805.1076297,13001.76956,27.63372761,0.002125382,470.5036448
2,0.00064591,0.0012949,805.3676651,12988.64791,27.59010686,0.002124171,470.7719319
2.5,0.00064491,0.0016174,805.6274381,12968.66081,27.54641704,0.002124076,470.7930179
3,0.00064387,0.0019393,805.8868113,12952.68244,27.50265781,0.002123318,470.961117
3.5,0.00064284,0.0022607,806.1458649,12940.71801,27.45882884,0.002121894,471.2771284
4,0.00064185,0.0025817,806.4046793,12920.67274,27.41492981,0.002121788,471.3005955
4.5,0.00064082,0.0029021,806.6630928,12904.64016,27.37096036,0.002121017,471.4719536
5,0.00063979,0.003222,806.9211856,12888.58953,27.32692017,0.002120241,471.6444242
5.5,0.00063877,0.0035414,807.1789573,12868.48371,27.28280889,0.002120126,471.6700453
6,0.00063776,0.0038602,807.436327,12856.43296,27.23862618,0.002118677,471.9927091
6.5,0.00063674,0.0041786,807.6934557,12840.32834,27.19437168,0.002117888,472.1685976
7,0.00063573,0.0044965,807.9502622,12820.16472,27.15004505,0.002117761,472.1968122
7.5,0.00063472,0.0048138,808.2066655,12808.06395,27.10564592,0.002116295,472.5238418
8,0.00063371,0.0051307,808.4628268,12787.8619,27.06117396,0.002116161,472.5538486
8.5,0.00063267,0.005447,808.7185841,12775.72786,27.01662878,0.002114684,472.8838656
9,0.00063167,0.0057629,808.9740986,12755.48746,26.97201004,0.002114542,472.9157167
9.5,0.00063068,0.0060782,809.2292084,12739.2728,26.92731737,0.002113725,473.0984755
10,0.00062964,0.006393,809.4839938,12723.04028,26.88255039,0.002112903,473.2824861
10.5,0.00062865,0.0067073,809.7384546,12710.83991,26.83770874,0.002111403,473.6186695
11,0.00062763,0.0070212,809.9926714,12690.52306,26.79279205,0.002111244,473.654371
11.5,0.00062661,0.0073345,810.2464819,12674.23712,26.74779992,0.002110407,473.8422286
12,0.00062563,0.0076473,810.4999666,12657.93341,26.70273199,0.002109565,474.0313994
12.5,0.00062461,0.0079596,810.7531253,12641.61195,26.65758786,0.002108717,474.2218994
13,0.0006236,0.0082714,811.0059575,12625.27275,26.61236715,0.002107865,474.4137445
13.5,0.00062259,0.0085827,811.258463,12608.91584,26.56706947,0.002107007,474.606951
14,0.00062158,0.0088935,811.5106413,12592.54123,26.52169443,0.002106143,474.8015353
14.5,0.00062062,0.0092038,811.7624921,12576.14895,26.47624162,0.002105274,474.997514
15,0.00061958,0.0095136,812.0140151,12555.67768,26.43071064,0.00210508,475.0412446
15.5,0.00061858,0.0098228,812.2651287,12559.5605,26.3851011,0.002100798,476.009565
16,0.00061759,0.010132,812.5163199,12514.67849,26.33941258,0.002104682,475.1312676
16.5,0.0006166,0.01044,812.7666134,12518.5336,26.29364467,0.002100377,476.1049204
17,0.00061561,0.010748,813.0169841,12481.72655,26.24779695,0.002102898,475.5342543
17.5,0.00061459,0.011055,813.2666186,12485.55903,26.20186902,0.002098574,476.5140618
18,0.00061361,0.011362,813.5163298,12448.7044,26.15586043,0.002101091,475.9432187
18.5,0.00061259,0.011668,813.7653039,12452.51429,26.10977077,0.002096747,476.9292843
19,0.00061162,0.011974,814.0143542,12415.61219,26.06359961,0.00209926,476.358307
19.5,0.00061061,0.012279,814.2626664,12419.39953,26.01734652,0.002094896,477.3507367
20,0.00060965,0.012584,814.5110544,12382.45006,25.97101104,0.002097405,476.7796696
20.5,0.00060864,0.012888,814.7587034,12386.2149,25.92459276,0.00209302,477.7785718
21,0.00060764,0.013192,815.0064277,12389.98088,25.87809121,0.00208863,478.7826422
21.5,0.00060665,0.013496,815.2542274,12312.19788,25.83150595,0.002098042,476.6349243
22,0.00060566,0.013798,815.5004713,12356.70409,25.78483652,0.002086708,479.2236738
22.5,0.00060467,0.014101,815.7476054,12319.64901,25.73808247,0.00208919,478.6545007
23,0.00060368,0.014403,815.9939984,12282.55811,25.69124334,0.002091685,478.0834444
23.5,0.0006027,0.014704,816.2396495,12286.25571,25.64431866,0.002087236,479.1024429
24,0.00060172,0.015005,816.4853746,12249.1179,25.59730795,0.002089727,478.5314893
24.5,0.00060074,0.015305,816.730357,12252.79318,25.55021075,0.002085256,479.5574214
25,0.00059974,0.015605,816.9754129,12215.60856,25.50302657,0.002087741,478.9866227
25.5,0.00059877,0.015904,817.219725,12219.26158,25.45575493,0.002083248,480.0196109
26,0.0005978,0.016203,817.4641103,12222.91568,25.40839535,0.002078751,481.0581509
26.5,0.0005968,0.016502,817.7085686,12185.67325,25.36094732,0.00208121,480.4896715
27,0.00059584,0.0168,817.9522821,12148.39534,25.31341036,0.002083683,479.9193457
27.5,0.00059485,0.017097,818.19525,12152.00395,25.26578396,0.002079145,480.9668272
28,0.00059386,0.017394,818.43829,12114.67958,25.21806761,0.002081612,480.3968236
28.5,0.00059287,0.01769,818.6805836,12118.26605,25.1702608,0.002077051,481.4517477
29,0.00059189,0.017986,818.9229489,12121.85359,25.12236302,0.002072485,482.5124763
29.5,0.00059095,0.018282,819.165386,12084.47182,25.07437374,0.002074925,481.9451101
30,0.00058997,0.018577,819.4070755,12047.05484,25.02629245,0.002077378,481.3759315
30.5,0.000589,0.018871,819.6480166,12050.59719,24.9781186,0.00207277,482.4461517
31,0.00058799,0.019165,819.8890285,12054.14059,24.92985165,0.002068157,483.5223554
